exac_id,name
amnhp_1000494,"Danenhower, John Wilson, 1849-1887"
amnhp_1000495,"Daniel, J. F. (John Franklin), 1910-1948"
amnhp_1000496,"Dann, David"
amnhp_1000497,"Darling, Jay N. (Jay Norwood), 1876-1962"
amnhp_1000498,"Darlington, Capt. Philip"
amnhp_1000499,"Darwin, Charles, 1809-1882"
amnhp_1000500,"Darwin, Leonard, 1850-1943"
amnhp_1000501,"D'Attilio, Anthony"
amnhp_1000502,"Davenport, Charles Benedict, 1866-1944"
amnhp_1000503,"Davidson, Amy"
amnhp_1000504,"Davidson, Dennis, 1955-"
amnhp_1000505,"Davidson, Jo, 1883-1952"
amnhp_1000506,"Davis, E. H. (Edwin Hamilton), 1811-1888"
amnhp_1000507,"Davis, Gloria"
amnhp_1000508,"Davis, Leonard Moore, 1864-1938"
amnhp_1000509,"Davin, Thomas"
amnhp_1000510,"Davis, William Morris, 1850-1934"
amnhp_1000511,"Davis, William T. (William Thompson), 1862-1945"
amnhp_1000512,"Davison, Endicott Peabody"
amnhp_1000513,"Davison, Frederick Trubee, 1896-1974"
amnhp_1000514,"Davison, Henry Pomeroy, 1867-1922"
amnhp_1000515,"Day, Lee Garnett"
amnhp_1000516,"Torre y Huerta, Carlos de la, 1858-1950"
amnhp_1000517,"De Terra, Helmut, 1900-1981"
amnhp_1000518,"Deak, Viktor "
amnhp_1000519,"Dean, Bashford, 1867-1928"
amnhp_1000520,"Deane, Ruthven, 1851-1934"
amnhp_1000521,"de Beauvais, Louis Jules Charles"
amnhp_1000522,"deBoer, Frederik"
amnhp_1000523,"Deck, Raymond S."
amnhp_1000524,"Decker, George"
amnhp_1000525,"Deckert, Richard"
amnhp_1000526,"DeCou, Branson, 1892-1941"
amnhp_1000527,"De Forest, Robert W. (Robert Weeks), 1848-1931"
amnhp_1000528,"DeFranco, Frank L."
amnhp_1000529,"De Geer, Gerard, 1858-1943"
amnhp_1000530,"DeGolyer, E. (Everette), 1886-1956"
amnhp_1000531,"Del Mar, Frances"
amnhp_1000532,"Delacorte, Malcolm G."
amnhp_1000533,"Delacour, Jean, 1890-1985"
amnhp_1000534,"Delafield, Lewis L., Jr."
amnhp_1000535,"Delafield, Lewis L., Sr."
amnhp_1000536,"De Laguna, Frederica, 1906-2004"
amnhp_1000537,"Delmont, Charles"
amnhp_1000538,"Deloria, Ella Cara"
amnhp_1000539,"DeLucia, Raymond H."
